query,p@1,r@1,p@2,r@2,p@3,r@3,p@4,r@4,p@5,r@5,p@6,r@6,p@7,r@7,p@8,r@8,p@9,r@9,p@10,r@10,rr
when to use dijkstra vs bellman-ford for shortest path,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.5,1.0,0.4444444444444444,1.0,0.4,1.0,1.0
how to find the maximum sum of a contiguous subarray,0.0,0.0,0.5,0.5,0.3333333333333333,0.5,0.25,0.5,0.2,0.5,0.16666666666666666,0.5,0.14285714285714285,0.5,0.125,0.5,0.1111111111111111,0.5,0.1,0.5,0.5
how to solve the house robber problem,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.5,1.0,0.4444444444444444,1.0,0.4,1.0,1.0
how to print a matrix in a spiral,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how can a heap help me find the kth smallest or largest element?,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.4,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
best way to check if a string is a palindrome,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
how to merge sorted data structures?,1.0,0.125,1.0,0.25,0.6666666666666666,0.25,0.75,0.375,0.8,0.5,0.8333333333333334,0.625,0.8571428571428571,0.75,0.75,0.75,0.7777777777777778,0.875,0.8,1.0,1.0
what are prefix sum problems?,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.75,1.0,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how to solve matrix traversal problems?,0.0,0.0,0.0,0.0,0.3333333333333333,0.2,0.25,0.2,0.2,0.2,0.3333333333333333,0.4,0.2857142857142857,0.4,0.25,0.4,0.2222222222222222,0.4,0.2,0.4,0.3333333333333333
what are some common linked list problems?,1.0,0.07142857142857142,1.0,0.14285714285714285,0.6666666666666666,0.14285714285714285,0.75,0.21428571428571427,0.8,0.2857142857142857,0.8333333333333334,0.35714285714285715,0.8571428571428571,0.42857142857142855,0.875,0.5,0.8888888888888888,0.5714285714285714,0.9,0.6428571428571429,1.0
how to work with frequency counters?,1.0,0.25,1.0,0.5,1.0,0.75,1.0,1.0,0.8,1.0,0.6666666666666666,1.0,0.5714285714285714,1.0,0.5,1.0,0.4444444444444444,1.0,0.4,1.0,1.0
what are union find problems?,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,0.75,1.0,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how to solve stock trading problems?,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,1.0,1.0,0.8333333333333334,1.0,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
what are minimum spanning tree algorithms?,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
how to detect bridges and articulation points?,1.0,0.5,1.0,1.0,0.6666666666666666,1.0,0.5,1.0,0.4,1.0,0.3333333333333333,1.0,0.2857142857142857,1.0,0.25,1.0,0.2222222222222222,1.0,0.2,1.0,1.0
what are strongly connected components?,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.25,1.0,0.2,1.0,0.16666666666666666,1.0,0.14285714285714285,1.0,0.125,1.0,0.1111111111111111,1.0,0.1,1.0,1.0
how to solve string matching problems?,1.0,0.25,0.5,0.25,0.3333333333333333,0.25,0.5,0.5,0.4,0.5,0.5,0.75,0.42857142857142855,0.75,0.5,1.0,0.4444444444444444,1.0,0.4,1.0,1.0
what are topological sort problems?,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how to construct binary trees?,1.0,0.25,1.0,0.5,0.6666666666666666,0.5,0.75,0.75,0.6,0.75,0.5,0.75,0.42857142857142855,0.75,0.375,0.75,0.3333333333333333,0.75,0.3,0.75,1.0
what are inorder traversal applications?,1.0,0.2,1.0,0.4,1.0,0.6,1.0,0.8,0.8,0.8,0.6666666666666666,0.8,0.7142857142857143,1.0,0.625,1.0,0.5555555555555556,1.0,0.5,1.0,1.0
how to solve subsequence problems?,1.0,0.14285714285714285,1.0,0.2857142857142857,0.6666666666666666,0.2857142857142857,0.75,0.42857142857142855,0.6,0.42857142857142855,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5,0.5714285714285714,0.4444444444444444,0.5714285714285714,0.4,0.5714285714285714,1.0
what are interval scheduling problems?,1.0,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,1.0,0.6,1.0,0.5,1.0,0.42857142857142855,1.0,0.375,1.0,0.3333333333333333,1.0,0.3,1.0,1.0
how to solve partition problems?,1.0,0.5,0.5,0.5,0.3333333333333333,0.5,0.25,0.5,0.2,0.5,0.16666666666666666,0.5,0.14285714285714285,0.5,0.125,0.5,0.1111111111111111,0.5,0.1,0.5,1.0
